# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
11,Pre-Flop,1,56,-56,RAISE,2,"['6h', '4s']","['7d', '7h']","['4d', '3d']",,,1,1
11,Pre-Flop,0,56,-56,CALL,0,"['6h', '4s']","['7d', '7h']","['4d', '3d']",,,2,2
11,Flop,1,56,-56,RAISE,4,"['6h', '4s']","['7d', '7h']","['4d', '3d', 'Ad']",,,4,4
11,Flop,0,56,-56,DISCARD,0,"['6h', '4s']","['7d', '7h']","['4d', '3d', 'Ad']",,,4,4
11,Flop,0,56,-56,CALL,0,"['5s', '4s']","['7d', '7h']","['4d', '3d', 'Ad']",6h,,4,4
11,Turn,1,56,-56,RAISE,12,"['5s', '4s']","['7d', '7h']","['4d', '3d', 'Ad', '5d']",6h,,8,8
11,Turn,0,56,-56,FOLD,0,"['5s', '4s']","['7d', '7h']","['4d', '3d', 'Ad', '5d']",6h,,8,8
12,Pre-Flop,0,48,-48,RAISE,2,"['7d', '8s']","['2s', '3s']","['2d', '5s']",,,1,1
12,Pre-Flop,1,48,-48,FOLD,0,"['7d', '8s']","['2s', '3s']","['2d', '5s']",,,2,2
13,Pre-Flop,1,50,-50,RAISE,2,"['9h', '4d']","['Ad', '4s']","['3h', '5s']",,,1,1
13,Pre-Flop,0,50,-50,CALL,0,"['9h', '4d']","['Ad', '4s']","['3h', '5s']",,,2,2
13,Flop,1,50,-50,CHECK,0,"['9h', '4d']","['Ad', '4s']","['3h', '5s', '9d']",,,4,4
13,Flop,0,50,-50,RAISE,4,"['9h', '4d']","['Ad', '4s']","['3h', '5s', '9d']",,,4,4
13,Flop,1,50,-50,FOLD,0,"['9h', '4d']","['Ad', '4s']","['3h', '5s', '9d']",,,4,4
14,Pre-Flop,0,54,-54,RAISE,2,"['7s', '7d']","['5d', '4d']","['3s', '6h']",,,1,1
14,Pre-Flop,1,54,-54,RAISE,4,"['7s', '7d']","['5d', '4d']","['3s', '6h']",,,2,2
14,Pre-Flop,0,54,-54,RAISE,8,"['7s', '7d']","['5d', '4d']","['3s', '6h']",,,4,4
14,Pre-Flop,1,54,-54,CALL,0,"['7s', '7d']","['5d', '4d']","['3s', '6h']",,,8,8
14,Flop,0,54,-54,RAISE,19,"['7s', '7d']","['5d', '4d']","['3s', '6h', 'As']",,,16,16
14,Flop,1,54,-54,DISCARD,0,"['7s', '7d']","['5d', '4d']","['3s', '6h', 'As']",,,16,16
14,Flop,1,54,-54,FOLD,0,"['7s', '7d']","['5d', 'Ad']","['3s', '6h', 'As']",,4d,16,16
15,Pre-Flop,1,70,-70,RAISE,2,"['6h', '5s']","['9h', '7h']","['4h', '3s']",,,1,1
15,Pre-Flop,0,70,-70,CALL,0,"['6h', '5s']","['9h', '7h']","['4h', '3s']",,,2,2
15,Flop,1,70,-70,RAISE,4,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h']",,,4,4
15,Flop,0,70,-70,CALL,0,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h']",,,4,4
15,Turn,1,70,-70,CHECK,0,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h', '8s']",,,8,8
15,Turn,0,70,-70,CHECK,0,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h', '8s']",,,8,8
15,River,1,70,-70,RAISE,92,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h', '8s', '5h']",,,8,8
15,River,0,70,-70,FOLD,0,"['6h', '5s']","['9h', '7h']","['4h', '3s', '3h', '8s', '5h']",,,8,8
16,Pre-Flop,0,62,-62,RAISE,2,"['7s', '6h']","['4d', '9h']","['6s', '9d']",,,1,1
16,Pre-Flop,1,62,-62,RAISE,4,"['7s', '6h']","['4d', '9h']","['6s', '9d']",,,2,2
16,Pre-Flop,0,62,-62,CALL,0,"['7s', '6h']","['4d', '9h']","['6s', '9d']",,,4,4
16,Flop,0,62,-62,CHECK,0,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s']",,,8,8
16,Flop,1,62,-62,RAISE,8,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s']",,,8,8
16,Flop,0,62,-62,CALL,0,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s']",,,8,8
16,Turn,0,62,-62,CHECK,0,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s', '8d']",,,16,16
16,Turn,1,62,-62,RAISE,24,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s', '8d']",,,16,16
16,Turn,0,62,-62,FOLD,0,"['7s', '6h']","['4d', '9h']","['6s', '9d', '4s', '8d']",,,16,16
17,Pre-Flop,1,46,-46,RAISE,2,"['6s', '7h']","['Ah', '6d']","['As', '8h']",,,1,1
17,Pre-Flop,0,46,-46,CALL,0,"['6s', '7h']","['Ah', '6d']","['As', '8h']",,,2,2
17,Flop,1,46,-46,RAISE,4,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s']",,,4,4
17,Flop,0,46,-46,RAISE,6,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s']",,,4,4
17,Flop,1,46,-46,RAISE,11,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s']",,,8,8
17,Flop,0,46,-46,CALL,0,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s']",,,14,14
17,Turn,1,46,-46,RAISE,25,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s', '2s']",,,25,25
17,Turn,0,46,-46,FOLD,0,"['6s', '7h']","['Ah', '6d']","['As', '8h', '7s', '2s']",,,25,25
18,Pre-Flop,0,21,-21,RAISE,2,"['9d', '6h']","['3s', '6d']","['As', '4s']",,,1,1
18,Pre-Flop,1,21,-21,RAISE,4,"['9d', '6h']","['3s', '6d']","['As', '4s']",,,2,2
18,Pre-Flop,0,21,-21,RAISE,8,"['9d', '6h']","['3s', '6d']","['As', '4s']",,,4,4
18,Pre-Flop,1,21,-21,CALL,0,"['9d', '6h']","['3s', '6d']","['As', '4s']",,,8,8
18,Flop,0,21,-21,DISCARD,0,"['9d', '6h']","['3s', '6d']","['As', '4s', '8d']",,,16,16
18,Flop,0,21,-21,CHECK,0,"['9d', '2h']","['3s', '6d']","['As', '4s', '8d']",6h,,16,16
18,Flop,1,21,-21,DISCARD,0,"['9d', '2h']","['3s', '6d']","['As', '4s', '8d']",6h,,16,16
18,Flop,1,21,-21,RAISE,16,"['9d', '2h']","['3s', '6s']","['As', '4s', '8d']",6h,6d,16,16
18,Flop,0,21,-21,FOLD,0,"['9d', '2h']","['3s', '6s']","['As', '4s', '8d']",6h,6d,16,16
19,Pre-Flop,1,5,-5,RAISE,2,"['2s', '6h']","['8h', 'Ah']","['6d', '3s']",,,1,1
19,Pre-Flop,0,5,-5,DISCARD,0,"['2s', '6h']","['8h', 'Ah']","['6d', '3s']",,,2,2
19,Pre-Flop,0,5,-5,CALL,0,"['3h', '6h']","['8h', 'Ah']","['6d', '3s']",2s,,2,2
19,Flop,1,5,-5,DISCARD,0,"['3h', '6h']","['8h', 'Ah']","['6d', '3s', '9s']",2s,,4,4
19,Flop,1,5,-5,CHECK,0,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s']",2s,Ah,4,4
19,Flop,0,5,-5,RAISE,6,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s']",2s,Ah,4,4
19,Flop,1,5,-5,CALL,0,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s']",2s,Ah,4,4
19,Turn,1,5,-5,CHECK,0,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s', '2d']",2s,Ah,10,10
19,Turn,0,5,-5,RAISE,14,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s', '2d']",2s,Ah,10,10
19,Turn,1,5,-5,FOLD,0,"['3h', '6h']","['8h', '5s']","['6d', '3s', '9s', '2d']",2s,Ah,10,10
